CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
10000,2,25,23846.16,5,5,5,555,15,Champions
10001,14,29,48694.2,5,5,5,555,15,Champions
10002,16,22,16430.16,5,5,5,555,15,Champions
10003,22,10,8154.46,4,4,4,444,12,Loyal Customers
10004,17,29,38162.35,5,5,5,555,15,Champions
10005,12,29,36214.5,5,5,5,555,15,Champions
10006,5,10,9733.06,5,4,5,545,14,Champions
10007,9,12,14901.92,5,4,5,545,14,Champions
10008,14,15,24538.69,5,5,5,555,15,Champions
10009,5,23,36894.32,5,5,5,555,15,Champions
10010,2,16,9829.23,5,5,5,555,15,Champions
10011,11,15,11594.18,5,5,5,555,15,Champions
10012,5,22,31618.42,5,5,5,555,15,Champions
10013,6,29,24261.77,5,5,5,555,15,Champions
10014,12,20,13805.39,5,5,5,555,15,Champions
10015,8,13,8811.3,5,4,4,544,13,Champions
10016,3,16,21505.58,5,5,5,555,15,Champions
10017,12,28,18125.1,5,5,5,555,15,Champions
10018,5,27,26642.46,5,5,5,555,15,Champions
10019,3,14,16063.49,5,4,5,545,14,Champions
10020,2,19,13604.45,5,5,5,555,15,Champions
10021,9,22,28267.85,5,5,5,555,15,Champions
10022,13,22,42096.6,5,5,5,555,15,Champions
10023,4,12,11894.52,5,4,5,545,14,Champions
10024,3,21,44030.2,5,5,5,555,15,Champions
10025,9,18,23753.82,5,5,5,555,15,Champions
10026,7,10,12060.91,5,4,5,545,14,Champions
10027,1,14,14635.34,5,4,5,545,14,Champions
10028,14,28,25560.07,5,5,5,555,15,Champions
10029,12,17,32652.42,5,5,5,555,15,Champions
10030,11,12,18450.31,5,4,5,545,14,Champions
10031,1,25,48803.75,5,5,5,555,15,Champions
10032,12,26,31844.02,5,5,5,555,15,Champions
10033,6,14,21000.6,5,4,5,545,14,Champions
10034,7,13,11631.89,5,4,5,545,14,Champions
10035,13,10,10268.33,5,4,5,545,14,Champions
10036,7,14,16957.63,5,4,5,545,14,Champions
10037,9,14,11119.02,5,4,5,545,14,Champions
10038,3,29,26605.5,5,5,5,555,15,Champions
10039,9,25,51267.69,5,5,5,555,15,Champions
10040,1,18,29225.27,5,5,5,555,15,Champions
10041,2,19,18414.27,5,5,5,555,15,Champions
